time,text,userid,danmu_sn
0,安安大家,mikipoddy,17772899
0,西索.com 是不是!?,kevin00318,17777910
0,西索.com !,nux7338303,17786976
0,遲簽。,aerfgyy66,17787160
0,簽,skywalker596,17799978
0,看巨人要關彈幕是常識,lecturiox001,17966806
5,簽,BreadlyMIKU,17772283
10,西索.com,seanhung0722,18754146
12,簽,shenyufeng,17776432
12,簽到,As36140476,17839714
13,2021/01/26 二刷簽到 ˋOˊ,pkpk440666,17786127
13,siso.com,charlie10173,19447292
18,刺激,kopslock,17774312
20,西索.com😂😂,wahaha960512,17875614
20,簽簽簽,aaa120369874,17949374
24,2021/01/27 更正五刷簽到 OwO,pkpk440666,17803053
25,光這集已經三刷,Mgk001,17810531
25,來了！！！！！,ruby201067a,18273572
26,立馬重看,shenyufeng,17776718
26,簽,squirrel123,17848576
30,白字笑死,NotoMamiko,17770659
31,2021/01/28 六刷熱血簽到OwO,pkpk440666,17818641
33,有屁還關彈幕,icky352,17779795
35,胡桃鉗登入中,Jellyfish111,17781344
40,簽,Wennybear,17772197
40,簽,chenestla123,17772958
40,簽,qaz1080078,17932915
41,簽,dylamwu9121,17779123
42,2021/01/29  七刷吃早餐簽到 OwO,pkpk440666,17829293
45,西索.com笑死wwwww,uio60809,17801949
46,新角色?,abcd125611,17771566
47,簽啦哪次不簽,ax39732389,17788975
47,2021/01/30 九刷無情簽到 OwO,pkpk440666,17853142
51,簽啊,K10708105,18121924
55,老公160我來啦（泣）,Yuyiiii107,18809459
59,2021/01/29 八刷睡前刷刷 OwO,pkpk440666,17840427
59,2021/01/29 八刷更正 睡前再刷一波 OwO,pkpk440666,17840439
59,西索.com www,Excel214005,18626577
60,簽,AA104007,18016997
62,2021/01/27 四刷吃晚餐簽到 OwO,pkpk440666,17801253
65,簽,fairy1999107,18628917
66,最近重刷漫畫看到最新 看到整個憂鬱到哭,bbbb8688,17810230
68,簽啦!!!!,axsce615615,17774265
72,2021/01/27 四刷簽到 OwO,pkpk440666,17803023
74,三刷~~,Bishope04u,17783011
75,簽,lazyyyywen,17770594
75,好強悍no,agh9651,17780321
77,西索打抗，輸入 ... ...,ke18ven,17803437
80,簽,Taes10048,17778939
80,不錯誒,Cr20010227,18491583
81,簽啦,Jojowwe0928,17779085
84,四刷,andyhi93,17820643
85,簽好簽滿＋1,shenyufeng,17776726
88,簽爆,night60628,17776212
90,看到憂鬱加一#,fairy1999107,18628925
92,張愷男,l89314314,17780192
94,三刷啦,andyhi93,17799076
95,睡前二刷～,lazyyyywen,17773214
95,簽,can12166449,17778382
96,在派出所值班台不知道第幾刷簽到,jess410089,18660160
97,腦衝胡桃鉗,Husky2333,17791067
99,胡桃鉗,Bang66669,17827620
100,二刷專門看彈幕😊😊,Hua92711,17778760
105,簽,asdzxc2988,17983209
108,簽,DL4UL104,17860936
110,簽,BBa12312,17779528
111,兵長！！！,HH369258,17815630
115,寶寶我也來二刷,cha590,17778305
115,簽,sandy1003,17781477
116,辣個只拿冷兵器吃雞的男人,FGH52368,17839581
122,哭阿,O121212121,18776232
125,張愷男 彥均,l89314314,17780214
129,第99999999999999999999999999999999999999刷,frank303,17797350
130,87,ouguanchen,17922575
132,嘿,LoveKanon,18260638
140,2021/01/27 三刷熱血簽到 OwO,pkpk440666,17797138
140,二刷看彈幕😍,inuyasha411,19453377
141,你誰？,sakirisaikou,18710755
143,2021/01/27 三刷更正熱血簽到 OwO,pkpk440666,17797156
150,一天4刷巨人final才會爽,awe36523652,17794530
160,我老公,waiter1020,17770687
160,五刷,xzxz9017,17778654
160,話,O121212121,18776236
166,四刷報到,taylor951,17817855
169,三刷,robin1515kc,17786549
170,簽,mkps101058,17798511
175,六刷報到,eo111265,17832151
178,二刷~~~,olivia1220,17801923
190,二刷簽到,moon910119,17772208
190,嘿是的,K10708105,18121926
195,三刷報到,Strong861001,17785978
195,娘子，來看開罐器上線了,blue8758,17795128
200,藍字瞎了?,abcd125611,17771594
200,阿摳慢,pkpk440666,17853147
205,切島銳兒郎,Cupo1010,19344316
208,看巨人ㄉ廣告看巨人爽,terrylin1124,17776817
210,超多刷！！！,blue8758,17788185
210,好看～～～,david654321,17803087
224,鬼阿,lhh,17772001
228,巨人？很了不起嗎？,magicsword,17820493
232,二刷簽到,F78927,17795820
234,666666666666666666,jordy309,17831710
237,簽,angus0216,17802788
238,這段麻酥演得真好 連我都感到恐懼了,kouame520,17778695
240,三刷,RonaldoMIESS,17807114
241,已經刷好幾次了...告白帕島全員❤,chiimnyq,18251831
242,喔是哦,pkpk440666,17853167
250,二刷簽,abc55443,17781750
250,六刷,h840106,17808232
252,安安 我是Leon,abcd3606823,19393419
255,三刷報到,earth0939,17933467
257,辣個男人,cyr0210,17852119
258,看到我巨鎚瑞斯不怕的欸,R1251,17804438
259,1/26號13:09三刷啦幹,taylor951,17778088
260,這集真的讓我閉嘴了🤐️,fox50214556,17778360
260,簽,abc55443,17781735
260,四刷報到,bear934048,18434446
260,當蚊子在旁邊：,REGO2020,19306146
270,十刷簽到,Wasunnyday,17882383
275,養尊處優的人吶,yinlinanlu,17780433
277,短短的一集卻超精采,shenyufeng,17776740
279,二刷啦帥爆,andyhi93,17787590
280,來看猪隊友胡桃鉗,perry2816,17859442
281,五刷,s10311520,17814430
286,簽啦,Vinson0315,17787349
288,BGM也太讚了吧,lecturiox001,18055631
289,你只是區區巨人而已,andy870830,17780014
289,你知道你面對的是一群專業的巨人殺手嗎,urutia,17848826
290,所以ㄋ人家是兵長 還阿卡曼,hayateli,18526656
294,都不會打結www,yn0914,17818020
295,忘記第幾刷了報到(￣▽￣),ShanCheng01,18133420
296,三刷~,b07504059,17937719
297,倫＋４巨人耶＞＜,sievolve,17787064
297,蒼蠅大軍,z52637555,17894001
298,SO?,sinevanish,18261663
299,第一次?,jspss94142c,17777465
299,你是巨人 但人家專殺巨人阿,a581526,19109580
299,他們早就以人類之軀狩獵過一堆巨人了,A62569,19183371
303,喵,dz5f5935,17780748
310,五刷,hygogg2082,17854611
317,對 掰掰,ZAI241,19544480
318,嗷嗷嗷 好帥!!!,mini1050214,19420025
319,part1結束回來重刷神集數,tancool,18841137
324,二刷起來,sanada99999,17772037
324,飛蚊症,Alyssa1010,17800254
330,Wow,YuAn2250bync,17841022
336,不會打結喔,abc092049,17795068
337,開心,peter1975,18628285
347,四刷了,yh94127,17795751
359,帕拉迪島的阿克曼,heeetah,17788924
359,百機操演,bily19930514,17793785
360,本籍最佳ＭＶＰ：顎,black8758,17815754
360,神作確定,happy910506,17884544
365,你知道他們已經把島上無垢巨人全滅了嗎？,FGH52368,17839606
366,拉哩哩哩拉,vincen0820,17811729
367,小蟑螂殺巨人,a7531091,17797493
375,蟑螂錒～,uiogvm456,17787215
382,我大兵長,Shihan1120,18218890
385,會變成這樣還不是你們害的,skydream0823,18441897
387,殺爆你,Jessie54gay,17925703
387,兵長啊~~~~~~,Jessie54gay,17925723
387,兵長我的啦～,tina08180518,18305533
389,我老公啦(❤ ω ❤),olivia1220,17801954
399,???,aabb334455cc,17829925
400,拜託你現在立刻馬上玩弄我的感情（泣）,Yuyiiii107,18809479
410,我老公!!!!!!!!!!娶我!!!!!!!!!!!!!!我愛你里維,foot80706,17771260
416,天兵,H0611223,17795481
422,有這麼帥的惡魔?,ZAI241,19544482
425,DADADADA,dolphin128,17778003
434,打不贏開始嘴,DannyDaiYT,18354355
439,聖甲蟲吃人,wolf791113,17818612
440,驚張時刻不要求婚好嗎？😂,shenyufeng,17776758
446,胡桃鉗,jason930921,17776471
472,從後面來,Ayue123,19116756
477,M,ak20040613,18002829
