time,text,userid,danmu_sn
0,喂喂喂喂喂,aabb334455cc,17532321
0,座啊,owo0708,17538122
0,簽爆,fanzzzzz,17844096
0,坐啊,zgjh970222,18872540
6,哇賽，還真的轉給我耶,s49606112,17724239
7,簽,Fool2005,17532251
8,再看一次還是覺得這集很神 緊張感十足,eric255096,17556490
9,簽,WAWAbbfam,17950654
10,簽！,fairy1999107,18620233
13,22,asd00070123,17599950
15,來了！！！！,ruby201067a,18254489
16,簽,Yufu20091112,17575572
16,簽一波啦♡♡♡♡♡,illy0123,17583108
18,為了這集我又重刷前兩集啦！,F129333111,17593683
20,感謝紅字的建議～,yoyo34453882,17607532
21,簽啦,vsouis87,17555120
21, 萊納你坐阿,Terry0522,17996316
23,簽簽簽,aaa120369874,17947539
26,簽,oofman,17540196
27,簽啊,jody4024,17579032
27,簽啊哪次不簽,Shiapeirou,17967253
37,666,ryan960331,17587356
44,我也為此而萊,night60628,17564326
45,簽,AA104007,18015216
45,簽啊,justinechuo0,18270290
46,我又又又又萊了,night60628,17579235
47,萊納，你坐啊！！！！,XCINDYCC14,18439910
48,簽,dfcmsingir,17533923
50,李維好香,WillPeng0714,17578071
60,萊納該坐了吧！,jaychung3013,17591390
60,坐之巨人上線,ghost02525,19484280
61,為萊納而來,jess960309,17722491
62,簽啦哪次不簽,ax39732389,17549602
64,神坐簽到,hungryan94,17702849
65,嘿,LoveKanon,18188597
66,夢到你坐下了,liang30303bh,17944480
68,坐阿,bora55123123,17696469
73,簽,karta1792955,17553810
75,萊納 你坐啊,JunSAMA233,17574096
76,三刷,night60628,17543843
77,你坐阿,mymyhanta,19247841
79,我忍不住了 米卡莎,Lukuiyi,18096657
84,刷刷刷,cdii,17535244
84,哦哦III,Qazokm0918,17711030
92,神座神座,owesdf5,17693244
93,三刷啦～,peixin0709,18081241
94,經典畫面,olaf8940,18075805
95,坐啊！ 坐啊！,Iuo0620,17587942
95,萊納你坐,Yuyiiii107,18808817
96,我是來看他坐的,o19920414,17658697
98,萊納你坐啊,tsai63865,18000053
100,來了,Kevin709,17542123
108,2021/4/13 01：49簽,Qgayya,19089948
109,坐啊,w20745379,19087087
110,萊納！你座阿,jack7774016,17539152
110,來看萊納坐下,inuyasha411,19459623
115,簽,max666wang,17556697
119,萊納你坐啊,night60628,17564328
119,該坐了吧,Liang0811,19188394
120,亞尼亞尼,kuan512,17550584
120,井兵衛,idea871214,17838766
122,萊納你坐啊,hokywrjjq,17532046
124,簽,saab8888,17540112
124,萊納你坐阿,kuochi111,18701684
125,簽,Ghukjgd12,17529323
125,萊納你坐阿,j10655062,17529543
128,你吊阿,dolphin128,17691637
130,李維我婆,WillPeng0714,17578076
132,"這集彈幕總結是  ""萊納你坐阿""",a121472132,19294860
137,萊納坐下,dfcmsingir,17533928
138,2刷,nickcch,17673448
139,這集真的非常經典,NorthRiver0,18828464
140,來看萊納坐下,derroulin,19208653
140,亞妮！！！,ronald200089,19330422
141,坐阿 萊納,alskdj123852,17562898
143,簽,knight0120,17580462
143,兵長我老公,illy0123,17585420
150,犬夜叉給我坐下,story041236,17620310
150,簽,Yunlei131,19062589
151,萊納 你坐下,pp8787941,17568034
153,簽,ak20040613,18001786
160,萊納,eddieJu,17711334
160,坐啊,bryan181850,18192428
162,水喔,Diego0925,17535600
163,萊納你坐阿,yei861020,17577064
171,簽,wongshing04,17599489
176,刷 都刷 刷到爆,toososo,17565682
179,坐下,kjinuvkgao56,17539075
179,坐啊,WeiWeiWeiWe,17860813
185,好帥,gongliankai,17676898
192,六刷 等更新好久QQ,pkpk440666,17605742
193,9666666666666666666666666666666666666666666666666666666666,a29130930,17546588
204,坐,mar820214,18279556
209,4刷了啦 周更太久了QQ,pkpk440666,17558676
212,說實在我看不太懂,Bang0422,17899676
215,坐啊,Kriswu1021,17555048
219,簽~~~~~~~~~~~~~~~~~~~~~,a57188577,17574387
220,萊納你坐阿,Re950115,17580143
225,萊納，你坐啊,spi96018,17555515
229,小叮嚀XD,illy0123,17585402
229,坐啊你～,kerwinku,19401637
232,簽,Smrl,17556129
233,萊納你坐啊,flywithtae,19284933
238,貝爾A夢好久不見(つд⊂),melody50124,18061492
