time,text,userid,danmu_sn
0,封面真香,wilson900112,17337677
0,簽,jimmy9025,17338249
0,早安,night1144,17338908
0,簽啦 哪次不簽,weiming1996,17362599
0,幹～,a208781,17997343
2,這部是64集…乳滑!!!,goldkingaka,17343914
2,封面舔爆,s3603528,18155456
3,簽,ivyfwerxa,17354035
3,封面真香,allen0601,18323114
4,簽拉 哪次不簽,s104303012s,17340711
5,不要錯過正片後面還有~,c2005940815,17472285
6,簽,weizhen005,17337116
7,簽,abc921105,17337504
8,簽,qw47704020,17338885
10,簽,ja667788,17337211
10,簽,aaa120369874,17374234
11,"簽 
簽",MaybeRabbit,17341581
11,簽,gplayegg520,17491759
12,簽到！,Zha1324578,17345701
12,看巨人剛好看到巨人廣告，真巧,a1234a5a,17346364
12,簽!!,abcd125611,17354371
12,簽拉哪次不簽,abcd125611,17354374
13,TUNA喊在,sheep123321,17340991
13,忻你人呢？？,poi1127,17382524
15,下禮拜才能坐下來,jenny79716,17350053
15,本集封神！！,kusos12345,17627760
15,來了！！！！,ruby201067a,18254155
15,封面香爆,Sean0907,19066106
16,簽,oofman,17339125
16,簽啦 哪次不簽,Johnson414,17461750
17,簽到簽到,sym11011059,17337568
18,簽,Ericangel,17339360
18,為啥我沒有看到封面,a20041030,19320484
20,簽到！！！,james9055,17338213
20,簽,AA0983630377,17348218
22,置板凳,ighigh7979,17338636
22,萊了,be26840,17338859
24,簽,tt102033,17338593
24,簽,James520egg,17763368
25,簽,BreadlyMIKU,17344059
25,簽,a5820582017,17582001
30,三刷 等下集等兩週太苦了,zoe6032477,17489867
34,簽,llanny123456,17337696
35,簽,U122158647,17340136
38,簽到啦~哪次不簽,young85125,17342490
38,"簽
簽",ylin0069,17844277
40,簽,Hkjs,17342029
40,這封面我先sir了,chinghan0513,19084197
45,簽,A37818179,17340801
45,簽,max666wang,17408279
45,簽,AA104007,18014259
50,封面我老婆,chris9789,17712746
53,簽到,knight0120,17338789
53,看到封面就點進來了,pw7q,17343262
53,封面很會嘛,H89298929,17343591
54,簽啦哪次不簽,ax39732389,17441910
55,萊納你坐啊,owending,17337410
58,萊了！！！,be26840,17338872
58,到,ztl123456,17463986
60,簽,Ab1121,17735306
62,二刷,PooMoa,17342299
62,簽,A2021020210,17936685
64,..,eric930625,17340400
65,簽簽簽簽簽,chen0907,17625288
70,簽啊～,sagosago,17338411
70,炭治郎你怎麼在這,Ziyun0802,18356407
70,簽,fairy1999107,18609440
71,簽,squirrel123,17341153
72,這身高差,lecturiox001,17528152
75,簽,ass048894828,17339470
75,簽爆啦,Aa27992799,17406004
75,簽,eli970725,18016099
76,簽,Nina1224,17339801
76,請注意並尊重隱私個資,Lukuiyi,18096518
78,簽~,a4793786,17337525
79,安安,morrisgo666,17372832
81,簽阿,cutwiwi,17350171
83,簽到,KIDKICK1210,17406262
85,簽,a4518369,17339750
87,簽,Dino112358ww,17360897
87,萊納你坐阿,wangjulin,17373162
88,簽,penny960806,17468497
93,2021.01.05 簽,a914478932,17414325
95,簽,Toast2021,18266734
97,準備要看巨人先看到巨人的廣告,sfew,17337694
98,簽,Billlin94,17343274
100,(;´༎ຶД༎ຶ`)第5集停播一週,Evan930801,17401294
105,簽,iclod0928,17375977
106,要坐了吗,papah2020,17337962
107,不曉得到底是在簽3X,awe69610p,17362052
110,簽,whoareyoup,17342107
110,萊納你坐阿,liang30303bh,17943880
112,汐止邊緣擔當到底是哪個智障,AH081113,17415991
115,簽！,cs40083224,17350616
116,忘了拿椅子,s949521,17349193
118,帥爆 💟💟💟💟💟💟💟,carter914791,17346531
120,簽,Errt,17385424
121,嘿,LoveKanon,18188234
129,2021/1/4沒巨人 哭阿,Pugachen,17403594
132,炭志郎,eric22661117,17345765
133,20210110簽到,FudiQuinier,17484528
134,2021/1/4再刷一波,uytt6794,17403693
135,簽,Ciaociao0129,17341230
135,簽,sam910503,17357623
136,你坐下阿萊納,romeie6,17352287
138,簽,Ryan9511,17341294
138,"快座啊
快座啊你",Yenyu1013,17368683
139,炭志郎?,et741588,17427454
141,pb,a38284380,17340709
144,萊納你坐阿！,w0903338337,17340327
147,手手相傳?,OxterryxO,18199675
149,廣告是巨人PV 必須看完,HJChang68,17361951
149,五刷簽到= = 預計十刷,pkpk440666,17570637
150,簽了啦那次不簽,a43023467,17345739
151,哭啊再等一週,a9753186420,17408921
155,簽,Ricky93125,17441086
157,2刷簽到啦 哪次不簽,pkpk440666,17543078
157,2021/02/05簽,Shiapeirou,17966637
