time,text,userid,danmu_sn
0,簽,Aaaa1211212,18164914
0,簽啦～,R66666666666,18165648
0,初四了 各位,ian1239,18165753
0,簽,m123196636,18167247
0,簽,eli970725,18169462
0,簽,JimmyChen111,18172739
0,初四了阿伯,terry94322,18173599
0,莎莎給油~,jxu407,18174247
0,簽,Bubble67,18174493
0,簽,ylin0069,18198477
0,花了四天終於補完前幾季了,niel0628,18242284
0,簽簽~,ananas,18351698
0,祝我會考5B+,mkk950415,18362919
0,たたかえ、たたかえ,KCHEGYSZ23,18909185
2,Poshin生日快樂！！！,ewpnawt82002,18167101
4,初四囉~~~~,wwjjliu0215,18175875
4,簽,K10708105,18233808
5,新年快樂,ap93617,18172353
5,第一季開頭艾連不是做一個夢是進擊的巨人,Purple931228,18214270
5,的能力嗎是的話艾連不是在後面才變進巨的？,Purple931228,18214278
6,簽簽簽簽簽~~~~~,OxterryxO,18183484
7,阿伯 初四了 阿伯,a134679saa,18178393
9,初六看ㄉ,linzzzzzzzzz,18195047
9,安安,Kazami1223,18197000
10,簽,max666wang,18166005
10,簽,BreadlyMIKU,18178466
12,初四 簽簽簽,lin20811,18164575
12,縮圖我婆,sanvqq30,18173736
13,簽簽簽!!!!,Yuejen0819,18171862
15,簽,Wei921205,18165585
15,簽,Terrence9418,18177416
15, 速度 速度 我是速度,w20301607,18182505
17,簽~~~~~,Dino112358ww,18194580
19,簽,vsouis87,18218797
20,簽   簽    簽 簽,icky352,18164579
24,簽,llanny123456,18165913
25,簽,sym11011059,18165538
25,來了！！！！,ruby201067a,18294371
25,塔塔開⋯ 塔塔開,monica0811,18667610
26,簽,a4793786,18166118
28,新年快樂~ 2021/02/15簽,wendy940714,18164780
29,たたかえ,KCHEGYSZ23,18909173
30,簽！！,yang5171444,18164612
30,🈯️考 🈯️考,Mark8626,18164620
30,簽,weizhen005,18165804
34,簽,TsouSanny,18166746
35,簽！！里維兵長我來了～～,momo940901,18171800
35,簽,z0968151478,18173449
35,我是狂三,Kazami1223,18197006
37,簽,night1144,18166019
38,簽,du881123,18182141
39,千,suna140758,18166708
40,簽,Sonic960228,18170836
43,簽,a12345B,18166999
43,簽,S1412,18175363
44,簽,j0925080217,18165836
45,塔塔開！塔塔開！,ivy24242005,18224059
46,簽,a26262581,18220165
46,簽bo,opop86411399,19007781
49,簽啦哪次不簽,ax39732389,18182460
49, 剛看完無限列車預告的艾連,randybhsu,18200587
50,上班中...簽,neo112212,18164320
50,簽,tank333,18185642
50,簽,diank6697,18192027
51,簽啦！哪次不簽的,P3728jeudkd,18165073
53,2021/02/15 首刷吃餅乾簽到 OwO,pkpk440666,18166455
53,簽,oso3924z,18183968
54,上臺大 上臺大,Candy920317,18164359
54,單車男孩簽啦,aza5850,18193243
54,安安,Heatshock,18233072
55,簽 新年快樂,Hkjs,18164822
55,第一次這麼晚簽,Aa27992799,18167691
55,20210215簽,angel931068,18169228
55,帥慘,hayateli,18528469
58,感覺是在說服自己不能停下腳步QQ,molly2457,18177388
59,尷尬場面,stanleychen6,18169745
59,E,Pekooo,18173005
59,我要🈯考，我要🈯考,henrywang926,18186999
60,簽,Weitina,18166183
60,簽,fairy1999107,18633302
63,安安安安,sznjack95,18498491
65,初四了,A45103388,18166146
65,簽,Audrey90826,18166290
65,簽,Brokei0925,18169366
65,mike簽,Justin91411,18171493
68,簽,dylamwu9121,18172816
70,簽,aa20060510,18164954
70,簽,terry94322,18173583
71,簽,asdzxc2988,18191424
72,簽,Zha1324578,18169997
74,阿伯 初四了 阿伯,qazwss50102,18271329
75,萊納，想拿紅包的話要跟艾連叔叔說什麼呢～,Iris91404,18168065
76,簽,Kotyu,18168759
76,我在看無限列車的預告嗎,CheerFAN0809,18175578
76,報告現在是5點！！,ouo980115,18198724
79,簽,kuanyu212,18166223
79,簽,Shiapeirou,18167358
79,來晚了,K10708105,18233823
81,簽,DumDum123,18210256
82,簽,auigl88522,18203061
83,簽簽,z0968151478,18173458
86,簽,OuO03066,18165119
86,簽,Ksdx05589,18254421
87,簽,scott0717,18208022
89,簽,Gwa0126,18164755
89,簽,jennysherry8,18172653
90,簽,Ghukjgd12,18166295
90,來領紅包啦!!!!,b07504059,18168224
93,尷尬,as28551591,18167718
93,簽,k20050819,18203109
95,签,dt1064653031,18390887
95,塔塔蓋..塔塔蓋,QOO055289,18691634
97,210220 神作簽到,POWER40201,18252648
100,主席表示尷尬,Aaaa1211212,18164923
100,簽,leosky0803,18184777
101,他他開,earth0939,18178067
104,尷尬,f52526969,18278814
105,垃圾廣告,cs83312,18207285
108,簽簽簽,knight0120,18223282
109,新年快樂,youngtriple9,18169759
110,簽,Ee0f4d5ce,18172151
113,艾連你好色喔,oneal525252,18166257
113,尬,IVY94522,18741094
115,初四了阿北,kevin00100,18178931
117,22222,mickey234chu,18263403
120,初四了艾倫,benny043514,18169295
121,簽,linwm,18165161
122,塔塔開,Ouroboross,18169603
122,簽,n126809845,18198241
123,簽！,Jianne,18166080
129,x1,Yuugatayume,18188998
130,🈯️,ccc65066,18326372
130,啊啊啊啊啊啊,Evr6AndyFW,18926544
135,塔塔口以 塔塔口以,Rayon123456,18176188
136,簽～,Kingiscute,18165016
136,他他嘎AA,pang3568,18212372
137,簽,Re950115,18217322
140,艾艾艾艾 戰鬥,azja525gl,18170259
140,簽-2021/2/17,rindis,18215343
143,為什麼我覺得好羞恥ww,e83jxy63krf7,18170602
143,簽,gina980809,18217506
144,簽,Goveteao,18175053
150,尬,Sarah1029,18172351
155,那個時期是這樣的啦XD,Jianne,18166084
155,初四啦阿伯,Desperation,18185148
157,新年快樂,green880528,18167808
159,簽簽簽,jennysherry8,18172659
166,靠北這裡好懷念www,MSLINmslin,18207325
168,完全忘記要看啦!!!,fu35j4520,18174026
170,戦え,Safina,18182394
170,x2,Yuugatayume,18189006
172,簽,ABCD0909,18173548
175,尷尬,Sakuya2720,19385094
176,"簽！！！！
",emma0731,18183049
176,尷尬,d9191928ah,18338119
181,還在那個時期,kii221166,18190109
183,龍騎？,a33132649,18192715
185,無能番薯也只能耍耍嘴皮了,Richard7,18170605
185,簽,s980306,18279705
187,無限列車看太多的中二少年,randybhsu,18200612
187,蕃薯：你應該已經過了那種年紀吧？😅,luky5232,18926594
188,簽簽,candy890717,18167551
189,太好了 這段沒讓我失望,gameboss11,18298201
192,簽,d800604,18198203
192,笑死 名場面,arisa1126,18200619
194,邊修邊看不會喔,wolf978,18176510
195,又到了那個時期了嗎,luckyone0510,18204969
195,那我就解釋,Makima,18219721
197,塔塔凱,free9319,18270177
200,又來拷問艾連了,tp6wu0y96,18192751
204,x3,Yuugatayume,18189013
205,簽,fusn3759,18412440
207,不戰鬥 就無法生存,X32368926,18486451
208,萊納你坐啊,oso3924z,18183976
217,尬,cycy83525,18201357
220,超好笑,Y1021777,18950641
223,尬爆,chao0630,18164796
223,煩死w,as0487987,18165982
224,簽，主席賣肉失敗,melody50124,18167490
227,塔塔口欸塔塔口欸,Arthour,18268300
228,塔塔卡欸,Jack970103,18170019
229,高い　高い～～,mike81901,18279379
230,漢吉生氣氣了，但只能用這種方式,thera724,18200392
235,韓吉你也想討紅包嗎?,clty3000,18166559
235,羞恥play,chengchuni,18199810
239,這種年紀嘛www,MSLINmslin,18207333
240,為什麼要一直說啦XDD,Alice339512,18169111
240,哈哈哈哈😂,ruby201067a,18294381
242,中二時期,aassq24,18421983
247,戰鬥吧戰鬥吧戰鬥吧戰鬥吧,A3186,18172789
248,笑死www那個時期,Z0604zz,18166673
251,x4,Yuugatayume,18189017
252,烏魯塞喔！！！！！,a7340659,18294095
256,反復鞭屍,gluttony123,18188327
258,漢吉好煩,jai166,18173200
260,簽 戰鬥..戰鬥吧！,vivi99110,18268161
261,我是黃色彈幕,Qazwsx12666,18175976
268,為甚麼要說那麼多次WWWW,leeamy0403,18175999
269,真的是在挑戰忍耐限度欸..,jcshapa,18178639
271,中二病末期臨床觀察,cover543,18259869
275,國文老師喔www藍色的窗簾代表憂鬱,Fufuuu0503,18167679
275,講超多次XDDDDDDDDDD,n225117226,18172783
280,他他嘎欸 。他他嘎欸。他他嘎欸。,aa22975118,18185364
283,尷尬XDDE,orpeter2266,18171797
284,每次犯中二都被韓吉看到XDD,orpeter2266,18186871
286,中二發作被發現,sun731569,18206367
292,尷尬致死,QwQ1003OUO,18173579
292,唸三小咒語啦,negget22,18198643
293,踏踏咖ㄟ,a109612071,18219761
297,是代表要重考兩次嗎?,a25195670,18187500
297,笑死,mickey234chu,18263410
301,別說了韓吉WWWWWW,Akabane0502,18416492
304,尬,skateboard78,18166907
304,尷尬,Finale8763,18178369
307,尷尬ㄟ,judy12975420,18187933
315,cf,dasdfd,18354714
317,暴雷仔,jouyou53,18164463
