time,text,userid,danmu_sn
0,啊啊啊啊啊啊,tz02,18845248
0,簽,a3254178960z,18845502
0,簽~,RUBY98127,18846159
0,簽,Sazasa,18847532
0,簽,hoick1101,18848370
0,簽,night1144,18848528
0,簽啦！ ！ ！,Dino112358ww,18849187
0,簽,BreadlyMIKU,18852104
0,簽簽簽,app0719,18854592
0,簽,Sherry1125,18883531
0,四刷,ef159159,18902232
0,簽,aza5850,18919056
0,往死裡簽到神作,Tina910211,18935654
0,簽,Willy0168,19061965
0,水,bowen4014,19410688
4,到,m567hi,18848247
5,簽,U122158647,18845704
5,簽,aaaderla,18850206
6,簽,abc921105,18845685
6,簽,lala950728,18846038
6,簽ㄉㄟˇ私,Larryhu98,18847462
6,段考簽,celinehu567,18848523
6,精彩,japan1942,18852260
7,各位好好享受最後一集吧 下次看是冬季了,z43062342,18847374
9,簽啦,vsouis87,18849075
9,簽,elsasummer,18946494
10,簽,sym11011059,18846695
10,簽!!!,sakana0216,18848401
10,牽😢,linda0812,18880621
12,簽,ao38pca,18843832
14,2021/03/31 首刷夜跑剛回來 OwO,pkpk440666,18876917
15,簽,AA104007,18845818
15,第一部分完結撒花🎉,irisfavorite,18850905
15,簽,fairy1999107,18866473
15,簽,d123218030,18884403
15,簽簽簽🥰🥰,a960110,18885918
15,4/8簽,yunyunmmy,19001120
15,簽,terry94322,19731449
16,簽,henry81246,18908448
16,最後一集簽簽簽!!!!!!!!!!!!!,blackcat9456,19109128
16,簽!!!!!!!!!!!!!!!!!!!!!!!!!,a33899850,19812084
17,艾主席生日快樂！！！！！,cos996,18853420
17,這邊就可以完結了 MAPPA現在跑還來得及,sing60905,19060225
17,簽qwq,momo940901,19252381
18,簽,ab960126g,18845718
18,簽,gamet0318,18848544
20,來了！！！！,ruby201067a,18844196
20,簽,Kotyu,18846236
20,20210405上半首刷完,n0976547708,18959547
22,簽,Re950115,18847328
22,簽,S1412,18912375
22,那一天，人們回想起了64天安門屠殺下的恐懼,badboy02,18975977
22,...以及被囚禁在網路長城中的屈辱,badboy02,18975980
24,簽簽簽,night60628,18845338
24,簽,a35741258963,18885599
25,簽 艾主席生日快樂🎁,happy910506,18853737
25,簽,QwQewe,18869210
25,簽,rexskyXXX,18876532
26,各位段考加油，總之我是放棄了,Kc0818,18845009
26,今天艾主席生日,Zha1324578,18854237
26,兵長殘廢,HTD0325,18897533
30,簽,j0925080217,18846795
32,簽,a4793786,18847930
32,簽,RyanayR,18848423
34,簽,F20080908,18861307
39,簽簽簽簽簽簽簽簽,Zhoue1071208,18846384
40,主席生日快樂！！！！！！！,night60628,18859128
40,簽110/05/28,Zhixi,19915435
41,簽,nt3u4kk123,19593102
42,最後不簽不行！,snowmoon1314,18847430
43,簽,Cokihsieh,18849741
45,簽,auigl88522,18844745
45,簽,s980306,18845171
45,簽,Bryceyoung,18845602
45,簽,justinechuo0,18850221
45,三刷,chickensking,18891797
46,簽,yei861020,18894585
46,簽啦，那次不簽的(2:02),Aa20070831,18946709
