time,text,userid,danmu_sn
0,上完夜輔直接來簽,dolly0718,18525414
0,好欸,hack50182,18525813
0,簽,coco487,18526458
0,簽,U122158647,18526494
0,簽~,RUBY98127,18527919
0,啊,yhu6104,18528013
0,TUNA 孔八挖,sheep123321,18528753
0,簽,BreadlyMIKU,18531328
0,ㄑ,Pigyloi,18535633
0,簽簽~~,ananas,18538335
0,簽,S1412,18539636
0,安,pantwdd,18554970
0,網路差到靠北,Ooqwertyuias,18568711
0,巨人延後撥出再來刷一遍,Mao9453,18630036
0,別刷了我們艾主席發動地鳴，14集中斷啦,ylc19980115,18639311
0,簽,Ian900812,18704808
0,啦哩啦,Yuyiiii107,18829035
2,簽,alvkwc,18624288
3,簽,Yenas,18524855
3,簽3/9 20：31 王,zxc089531283,18538445
5,友情建議大家動畫黨全程關彈幕。,Ciaoan051019,18552526
7,名場面請按數字9快轉,hdd525gash,18521365
7,封面那個我以為是阿爾敏......,refrain1208,18529781
7,第28刷,E0421jsm,18539771
8,簽~,nt3u4kk123,19537919
10,簽起來~,killerblack,18524112
10,簽,weizhen005,18527236
13,簽.,Uney9679,18522486
14,講魔法少女的那個是外星人嗎,Patricknot87,18537301
15,來了！！！！,ruby201067a,18576732
15,簽啦淦,Larryhu98,18629821
15,來了,Yuyiiii107,18828927
18,簽,tlphy123456,18525200
18,簽,Birar,18527109
19,起霧???,alantung,18736547
20,簽,silverknief,18547809
20,簽,fairy1999107,18649909
22,踏它蓋 踏踏蓋！,a4362199,18729545
23,簽,ab960126g,18522184
23,簽,asdzxc2988,18538653
24,沙沙給油,Yenas,18524860
25,簽,sym11011059,18525029
25,簽,AA104007,18536489
25,簽,Terrence9418,18539640
27,簽,TsouSanny,18523138
27,簽,Re950115,18592577
28,叔叔恭喜發財 日進斗金 步步高昇,sweetantt,18522896
28,簽,qw47704020,18712508
30,簽,tank333,18602115
31,簽,Ksdx05589,18522555
33,簽,night1144,18524602
34,(ノ｀⊿´)ノ偷時間作品1s2000,zmzm112233,18521448
34,簽,a4793786,18523088
36,簽♪,yang5171444,18528863
38,簽,Larryhu98,18522654
39,210312神作簽到,POWER40201,18577213
41,簽,d123218030,18524368
41,簽,botcho,18525156
41,簽,aaaderla,18527388
41,3/16簽到,Kk6801610aa,18640294
43,🛏️🈹🐂🍺,z5121020401,18538387
44,簽,auigl88522,18521271
44,簽,oofman,18526160
44,2021/03/09 首刷吃飽簽到 OwO,pkpk440666,18533708
46,簽爆,du881123,18521574
50,簽,psv150221314,18521814
50,簽啦哪次不簽,Raytsai0622,18522521
50,簽啦～～,momo940901,18655016
51,簽,abc921105,18521975
52,ㄐㄐ,E0421jsm,18539767
53,幹好期待下星期一,Lucas93920,18522171
55,簽,Lei2004,18526444
55,簽啦 哪次不簽,woou66,18527947
55,簽 -伶,linda0812,18678471
57,簽,natsu1230622,18568615
59,簽,j0925080217,18523906
59,景這麼漂亮，下一秒...,cindy900503,18534018
59,我要看進巨我要看進巨,yangbaby1111,18624121
61,簽,kuanyu212,18522333
62,簽～～～,k20050819,19276902
63,簽,a9501010111,18523381
66,放學簽,RONTANG,18523081
67,:),Nakano39999,18523631
70,萊納 你坐啊,heyheyboi,18521747
70,簽,frey102039,18629938
72,哇啦哇啦,Kerry0915729,18523000
77,喔是喔,JasoKu,18707401
78,簽,Torsten8787,18526280
79,簽,ssps81313,18525723
83,簽,ses910114,18526948
85,簽,Shurong0521,18525219
86,~~~~~~,a57188577,18541616
90,簽,Brandon0720,18521619
92,簽,Johnson414,18535942
95,這集真的讚 回來再看第二次,michelle8178,18668712
97,簽,QwQewe,18520805
98,一天5刷拉,wu9215,18527631
99,簽,Sr679896,18711911
99,簽,ts987074ts,18856871
100,簽,Ciaociao0129,18521385
100,簽,leotang1228,18528233
100,神作 簽,happy910506,18781315
101,萊納，你拿啊,Patricknot87,18537311
102,14集延後一週  怒刷一波13集,Valdrada,18634366
103,簽,qazwsx123456,18615977
105,拉加哥村,ruby201067a,18667082
107,千,Only5201314,18624155
112,哺,alex841212,18729738
112,好棒  兩點了,a104810,18729930
113,簽,chenyinqi10,18528126
114,簽,Jerry890725,18531996
115,簽到,d0975535,19061667
116,臭ㄐㄐ,E0421jsm,18539778
117,簽,zoe9333,19724180
120,三刷啦,justinechuo0,18535095
120,簽,fairy1999107,19836692
124,二刷簽,robin1515kc,18526740
125,手放桌上,A951112www,18524358
128,簽,CherryRIN22,18525841
134,簽,n126809845,18524279
136,1,tq996593661,18596898
137,簽,wenny219,18528512
140,1,nzbxvcasdf,18594681
141,簽,Kotyu,18523363
143,簽,lantiangg,18525695
143,簽,a0919560679,18569681
148,簽,s18113209,18568056
149,簽,yuanchingwei,18597351
155,可惜因地震要等到3/22才出14集,zxc089531283,18714709
161,簽,F20080908,18594587
164,愛了,Nakano39999,18523638
165,簽,Rinlove5t,18521894
170,簽,show02130730,18594044
170,簽2021/3/14,louis850824,18610873
171,二刷才發現開頭有這一段,Valdrada,18535607
181,簽,borubonloves,18523481
185,哎呀哎呀,alt5678,18528641
187,我簽,mimisu0604,18522539
190,簽,Mcde0914,18562610
191,這集好痛........,sqalur843310,18621373
195,簽簽簽,knight0120,18530175
198,屌,nic750123,18725444
200,簽到後要嗨嘍,Aa27992799,18522160
201,為什麼看到這個會想到吸入式早安可可,touhou18,19319714
203,毒氣,Shawn0613,18595004
207,簽,SB62540134,18525038
208,紅髮的草帽,s331506,18536479
208,這會不會是柯尼媽,zxc089531283,18538457
216, 簽,alvkwc,18624294
223,漫畫黨對煙霧有陰影,henna22521,18525540
227,創哥太神 呼應倒數第二集ww,fanjunmin,18545372
228,剛好跟漫畫...,jack831215,18525568
228,這個是算好了跟漫畫一起的放送時間嗎www,s93178tw,18527417
228,簽,ikaoru0001,18530140
233,2021/4/23,Qboyyaaa,19263931
249,你willy喔,kyle5886147,18521198
260,真心胃痛(;´༎ຶٹ༎ຶ`)シ,Geng2021,18522007
261,簽,william457,18899802
275,這個聲音還以為要接kono Dio da,Rtyuiol123,18715867
281,巴雷特大學,a26547533,18549634
307,"少數2刷的一集,真的很有張力",REBORNZXA,18530761
311,呼應了,mango970422,18527716
321,想到138，哭啊,H0965815272,18564219
332,胃痛....,a123bb123ccc,18551950
334,哭阿,mtes4607,18523488
365,居然只要空氣傳染就有用？,Valdrada,18535613
368,幹才剛看完現在又來,celinehu567,18523264
380,漫畫最新一話 跟進了,b911004,18528210
382,胃痛ㄚㄚㄚ..,hoter373431,18530084
385,看完馬上二刷,hacocotica,18534934
395,雞：我是自由的！,ruby201067a,18576749
396,哭阿,jacky8405axd,18738517
397,自由的雞,pjku1992,18521971
399,自由的雞！,pw7q,18530093
400,這雞好搶戲,Shawn0613,18595018
425,Doge Dog,justin1120w,18594418
430,車巨的眼神好媚,gbc,18530251
433,拉加哥慘劇😭😭😭,laiyanser07,18524919
439,偷偷給車巨美容 S3明明不是長這樣,cover543,18663962
443,摳妮 速速妹,fish86216,18528767
450,車巨！,show02130730,18594055
455,Wryyyyyyyyyyyyyy,zilla32256,18530651
456,因為雞不是艾爾迪亞人呀小可愛,Mao9453,18521022
460,有夠地獄,ning941014,18807829
465,2021/3/15沒巨人看繼續重播ep13,B0979573571,18631688
470,WRYYYYYYYYYYYYYYYYY,mh16918,18642506
477,皮克寶寶,davidddd,19369384
481,wryyyyyyyyyyyyyyyy!!!,Wei950223,18541303
482,我真的嗨到不行,t94900848,18538813
483,wryyyyy,firehero08,18530459
495,不是發生在自己身上都無關緊要,friend99121,18523907
500,wryyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,fay585858,18627349
525,柯尼媽巨欸)↗,kill0211,19279996
530,柯尼的村莊,TERRY0725,18976203
535,這個場景安排和動漫連動真的讓人起雞毛皮,ThiefFan,18520932
557,巨人畫的夠恐怖 怕爆,MSLINmslin,18540866
559,←DIO:Wrrryyyyyyyy,minusex,18531838
567,138,mtes4607,18593776
573,謊言,arahm0919,18770948
581,布拉賈,spark0329,18658038
587, 我的老公好帥！！！,yoyowoolala,18552060
587,♡♡兵長我愛你啊啊啊啊啊啊!!!!!!♡♡,KCHEGYSZ23,18919937
616,天啊兵長好帥<3,yoyowoolala,18552075
635,阿兵長(｡･ω･｡),Yuyiiii107,18828941
649,聽到聲音就整個心都麻了啊啊啊啊,Ella1224oy,19076915
655,里維帥慘,aabbcym,18521786
670,兵長超帥,sunny880115,18525072
700,垃圾哥哥,a8245231,18523917
707,頭文字D臉,redsubarunew,18536496
717,9,tyui128,18878792
760,又不願意了,s52013314,18521126
785,兵長快砍他,Neko0905199,18576678
792,好帥,w12121120,18523311
810,愛里維 <3,mini1050214,19421398
844,♡♡兵長我愛你啊啊啊啊啊!!!!!♡♡,KCHEGYSZ23,18919956
849,我明明請設計師剪艾連頭，結果卻像吉克，幹,c20629,18527587
