time,text,userid,danmu_sn
0,簽,sm3113,18734237
0,哭喔，看錯集了,openeric2000,18739803
0,簽,weizhen005,18744009
0,簽簽簽😳,a960110,18744041
0,簽~,RUBY98127,18744152
0,簽爆啦！！！,Dino112358ww,18744912
0,hi,clairechu,18746003
0,簽簽~~,ananas,18800098
5,簽,zoe9333,19724696
6,簽,aaaderla,18745103
9,9點台師溫書完马上就來簽😳💗,yun11080628,18744606
10,hi,hkhk2019,18745990
10,一拳兩話！,A122040251,18747461
15,簽,j0925080217,18742482
15,簽 兩集,AA104007,18754289
17,吳翎毓,shirochiaji,18747519
18,來句吉祥話,aaassdd6961,18735029
20,我也看錯集了,taes098003,18758836
24,小夫我要進來了,asdfg6938,18734190
24,"簽
簽",QwQewe,18738709
25,你各位想拿艾連叔叔紅包手就乖乖放桌上！,lian920418,18731231
25,簽,lian920418,18731237
25,簽啦,vsouis87,18744016
25,簽,Ghukjgd12,18744893
25,簽爆,du881123,18753173
25,簽,happy910506,18781460
29,簽,aa1256333tw,18732904
29,簽,jkjkjkwe66,18740650
30,簽,lily8810,18734431
30,簽,P091102,18740274
31,簽呃啊啊啊啊啊,Yenas,18796320
32,尷尬我也看錯藉,NightmareWTF,18740796
32,簽,Kotyu,18742107
33,簽,night1144,18747246
34,簽,seventeen92,18741445
34,簽,Johnson414,18773673
35,誰會半夜兩點起來看進擊的巨人ㄋ,Mmm1008,18731572
38,2021/03/22 首刷吃早午餐簽到 OwO,pkpk440666,18736339
40,簽簽簽,knight0120,18747830
42,簽,scott0717,18743016
44,簽,anne921114,18733852
45,簽,BreadlyMIKU,18749009
45,我來了(｡･ω･｡),Yuyiiii107,18829365
47,簽,ab960126g,18739738
47,簽,ab960126g,18743483
47,簽,auigl88522,18844493
48,簽ᕙ[･۝･]ᕗ,flash4214,18740529
49,簽簽簽,Dino112358ww,18744922
50,發紅包,Ja4389213,18733713
50,簽,Zhoue1071208,18741906
50,簽,U122158647,18743557
51,略過這集直接跳到下一集去==,gwaigwai1108,18745423
56,簽,nina971004,18798841
60,來了！！！！,ruby201067a,18739891
62,210322 神作簽到,POWER40201,18732501
62,簽,Riesling,18748245
63,簽啦,lix81683,18733521
63,簽ಠ_ಠ,flash4214,18740536
65,假幣垃圾,S106143,18735608
70,來啦,jenny79716,18736773
70,簽,Brandon0720,18738493
72,簽,s18113209,18783208
75,簽,Levierenlaw,18741222
75,簽,fairy1999107,18742639
76,簽,D37147977,18736023
77,簽,Jennywg21,18782425
78,簽,kuanyu212,18740365
82,看爆啊,wow24567,18731979
83,簽啦,A21042671,18801487
84,666,Tarry10124,19560468
85,⭐️吉祥話大考驗⭐️,ivy24242005,18734522
85,點到下一集ww,Ciaoan051019,18770640
92,"真的假的,有地震？！",Dino112358ww,18744963
93,艾叔叔要來發麥當勞了,l885519,18735141
95,簽,Wei921205,18735058
95,地震還好嗎？擔心~~,E20040624,18744249
96,要拿紅包拉,chocolater,18735322
98,簽♪,yang5171444,18756649
99,依次兩極,aa5965300,18858817
105,等等有人邀請你們吃薯條🍟,Howard910292,18732802
105,垃圾南投,c0727fm1274,18737903
106,簽,twojunior,18738631
113,簽,youbi0718,18821372
115,簽,leotang1228,18738383
115,簽,a9501010111,18741617
115,發紅包囉,as860215,19490662
119,美味蟹堡,yung11529,18736032
120,簽,sym11011059,18755446
122,簽,n126809845,18741850
123,千千,max0304789,18735173
125,簽,Rinlove5t,18739296
125,不要救她啦吼7414,wlobr183,18740557
125,還知道自己錯？,stormek0223,18795499
127,小夫！我要進來了,asdfg6938,18734196
135,我要上台大 我要上台大,Jiang0711,18735387
135,艾連叔叔很大包,irisfavorite,18772595
136,簽～～,Jennywg21,18782428
150,一次看兩集好爽,Rinlove5t,18739302
155,萊納你坐啊,o920604552,18735836
156,來囉來囉,s04231015,18731079
159,簽,Re950115,18809661
160,艾連即將登場,high7887,18733691
165,艾連叔叔要發紅包了,andrew911536,18741318
165,兵長你坐啊,Yuyiiii107,18829373
166,吉祥話想好了嗎,skmyg2728,18765387
167,簽！！！！！！,evan1113,18739790
168,簽,yei861020,18807295
169,簽啦哪次不簽,ax39732389,18789646
170,這回超級重要！！！！！！,Tanner900813,18739136
170,爽啦,Dino112358ww,18744941
170,我不想要叔叔的紅包啊⋯⋯,A122040251,18747473
187,簽,a4793786,18742342
188,進擊的王維,zxcb1,18827429
190,哲輔jeff,Joeho1108,18733849
190,簽,Shurong0521,18928438
193,差點看錯集,asdfghjhjfry,18741448
199,3.~~~~~,zhao0204,18732156
199,太舒服啦,aa5965300,18858821
207,我也是看錯集了,A951215,18741051
210,連兩集太爽啦～,psv150221314,18740803
218,對殺她,kaihongqiu52,18740559
223,你以為我們不想殺你嗎?,pgone333,18739531
223,比起殺你 我更想看見你變成巨人,pgone333,18739536
224,淦 原來少看一集,powdersnow,18752397
225,芊,sszz9900,18741590
229,2021/4//25 03:33,Qboyyaaa,19294070
231,阿爾敏好帥<3,poorcatqq,18734444
231,簽,abc921105,18739757
235,15集看到一半才發現原來有第14集w,bill970412,18741513
243,鮭魚簽,crysis8187,18747549
245,阿爾敏真的愈來愈好看,Levierenlaw,18741233
250,這禮拜有雙倍的快樂 愉悅,ighigh7979,18736126
250,艾連叔叔發紅包,Edgehu0718,18741137
256,看錯集回來的簽,question3334,18739539
259,我今天生日,Haoxiaoo,18740340
260,來看主席發紅包囉,justin880124,18734488
265,"是的,我很想殺你",Alvin12,18756844
267,簽,qazxcwsde,18732398
268,簽爆,kingmonkey,18744138
269,先看15集的+1,Dino112358ww,18744985
280,簽,eaadasd,18734640
297,看錯集,s18113209,18783209
304,紅包起來~,owo1067,18734813
309,7414,davidddd,19385312
320,ㄏ,Levierenlaw,18741238
320,開門聲,Sazasa,18833125
333,哇哇,E976534,18754047
343,說主席 主席就到,dragon19290,18744776
354,細品開門聲,gary99295it,18735696
355,談之巨人,Bearbrown,18744758
359,艾主席好~~,Dino112358ww,18745016
361,艾倫 嗨 找我嗎??,quietboepc25,18782383
365,阿你以為我不在這裡,jaguar000000,18734211
365,叔叔！！,A122040251,18747493
366,他們是聖母啦,aung0137,18741816
370,我老公好帥！！！,silverknief,18732798
370,好大！！,silverknief,18732817
375,艾連：安安,Sazasa,18736072
375,surprise  motherfacker,fay585858,18883325
376,主席好,peijuchen,18859598
380,哈哈是我啦,irene0618,18895609
381,阿爾敏考上建中歐,RONTANG,18740873
386,發紅包啦!,peggy2540260,18796555
386,艾倫 yo 有人叫我嗎？,Tommy940030a,18884700
390,紅包很大包的來惹,ivy24242005,18734531
392,HI 是我,POWER40201,18732523
393,太帥啦,Dino112358ww,18745029
393,艾主席好(｡･ω･｡),tigerian94,18947667
394,啾咪 ^_<,na2eacgn,18734847
394,嗨! 就是我,tp6wu0y96,18755460
394,麥當勞歡樂送！,ccsusu127,18815675
395,一言不合就舉手是那招?,carol7681,18750966
396,艾連叔叔的超大包紅包,ggininder000,18740830
397,發紅包囉,john95038,18735181
399,國歌預備！,Dino112358ww,18745032
400,LinJeng2021/03/23,linjeng1127,18754520
401,發紅包囉,xbcking1,18740404
407,15+1,s18113209,18783210
408,起床!!唱國歌!!,Aneyka,18886381
410,帥,Rinlove5t,18739308
410,拉拉拉拉,a6421313,18744258
414,嗨,VX72qg82,18742458
415,啊嘶,sszz9900,18741603
420,跳過跳過,jerry5929,18743508
422,劉均宜起來唱國歌啊！,lsh301,18739906
424,紅包來囉,ha950721,18742745
425,"a
a",QwQooplk,18833745
427,吸大麻囉,night1144,18747260
428,兩個禮拜的國歌 給我唱,bravo021733,18738366
430,合唱團預備～,stormek0223,18795503
433,喔喔喔喔,s40724263,18733003
434,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,EXSEXS,19734668
435,拉拉哩哩拉拉拉拉拉,lian920418,18731321
435,啦啦啦哩啦啦啦哩哩啦,t9205150405,18733932
435,各位信徒們拉起來! 拉拉拉拉拉,Waughson,18798445
437,lalalalalalalal,a70222,18741692
438,這國歌太噁,jerry5929,18743509
440,真的帥,happy910506,18781463
445,啦啦啦啦啦,crazyvece,18736089
445,露鷗鷗鷗鷗鷗鷗鷗鷗鷗鷗鷗鷗鷗鷗,welsonhsieh,19101325
449,啦啦啦啦啦啦啦啦啦,HsuChenKai,18749091
450,邱柏熏給08啦起來~~~~,C48558461,18739161
450,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,sadhappygood,18753682
450,啦啦啦啦啦哩哩,AA104007,18754297
451,啦啦啦啦啦啦啦啦啦啦,haojojo,18739433
453,升旗準備,CHT528990,18731380
453,拉拉拉拉拉拉拉拉拉,a10855024,18745101
454,啦啦哩哩啦哩啦啦哩哩哩哩啦,Mike4180,18743280
455,啦啦啦啦啦,hugo930302,18733487
455,啦啦啦啦啦啦啦啦啦啦啦,Edgehu0718,18741145
457,起立!!唱國歌!!,Aneyka,18886370
458,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,Arthour,18776153
459,拉,auigl88522,18844500
460,來大家一起蛤,Yuyiiii107,18829381
462,拉拉拉拉~ 拉 哩拉 拉滴滴滴滴拉~,ndsl619,18743865
462,啦啦啦啦啦啦啦啦啦啦啦,cesium202,18744127
463,啦啦啦啦啦,r12761276,18757196
464,全體起立!!!!!!!!!!!!!!!!!,arazer1224,18733011
464,拉拉拉拉拉拉哩拉 拉哩哩拉~~,gn03052560,18734502
464,啦啦啦啦 啦~ 哩啦~ 啦啦哩哩哩啦,naughtysu,18736569
465,上週沒啦到不爽啦，所以啦哩啦啦啦哩哩啦,nobulletslol,18734489
465,不敢看了,cheniuan,18735986
465,啦啦啦啦啦啦啦啦,mnhuang0218,18830692
468,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,coco487,18744078
469,拉拉拉拉拉拉,Chang860708,18870460
470,全體肅立！！！,dtyty1895,18731227
471,拉拉拉拉拉拉拉拉拉,aa5965300,18858828
474,發紅包囉,kklf22016,18744765
474,拉拉拉拉拉拉拉拉拉,a56662aa,19200175
475,拉拉拉拉拉ㄌㄧ拉s拉莉莉莉叻s,Ja4389213,18733717
475,啦啦哩啦啦哩哩哩哩啦啦,Yuyiiii107,18829384
480,啦啦啦啦啦啦啦啦啦啦啦啦啦,GOOGLEl,18757482
481,啦啦啦啦啦哩啦啦哩哩哩啦,JMSandy,19777338
484,主席太帥了,ao6bp6,18950737
485,LALILALILILILALA,Sazasa,18736075
485,沈OO還錢,a6840186,18739590
485,啦哩哩哩啦,fairy1999107,18742649
485,啦哩哩哩哩啦,Yuyiiii107,18829387
486,拉拉拉拉拉拉,Xykbk0221,18800843
487,簽到啦 一次兩集好讚210322,wendy940714,18733685
488,拉拉拉拉,ltt99983,18739786
491,拉拉拉拉拉哩啦啦啦哩哩哩哩,xbcking1,18740412
491,唱國歌,Z1000000,18895734
492,啦啦啦啦啦哩啦 啦哩哩哩啦,ptts10905,18731946
492,吉祥話呢,ajk21816,18736093
493,啦啦啦啦啦啦啦啦啦啦啦啦,Dino112358ww,18745049
495,啦啦啦啦啦啦啦,stormek0223,18795504
495,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,aa30302606,18819597
496,看錯集了XD,kuo930415,18742409
497,拉哩啦 拉哩哩哩啦,seven876876,18734601
498,拉拉拉拉拉拉拉,radseg,18753267
499,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦,Riesling,18748272
500,啦啦啦哩哩拉拉,alice881001,18734951
500,啦啦啦啦啦啦裡啦啦啦哩哩哩啦,celinehu567,18747570
501,拉哩拉拉拉哩哩哩哩拉拉哩哩啦哩啦啦啦哩哩,ha950721,18742774
504,陳x恩 起床啦啦啦啦哩啦哩啦啦,o0906629916,18743060
505,啦啦哩啦啦啦啦哩啦,leotang1228,18738392
509,啦啦啦啦啦啦啦啦啦啦啦,ss20070731,18746841
509,阿祿閩男神,Qboyyaaa,19294082
510,啦哩哩哩啦,tz02,18739690
510,各位拉起來！！！,kuo78925,18746710
513,畫面不太一樣是我的錯覺嗎？！,sixT0501,18733978
513,拉拉拉拉拉拉拉,Zhoue1071208,18741929
514,帥啊,kfj5555,19075532
518,等超久,slg19990206,18746140
519,發紅包發起來,NorthRiver0,18734335
520,啦哩哩哩啦,k65331001,18733200
523,ㄚㄚㄚㄚ,a6421313,18744263
523,啦啦啦啦啊拉拉,love23235,18971600
524,會啦一起啦,mh631,18735176
525,簽,rain741852,18734567
525,啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦哩,mnhuang0218,18830696
526,拉拉拉拉拉,xun1006,18738487
529,給我拉起來~空降的給我打下來~,wind9013,18850613
532,啦啦啦啦啦～哩啦啦啦哩哩,b26621049,18742431
536,啦啦哩啦啦啦哩哩哩啦,knight0120,18747843
539,lalllalalalaalalalalla,leo050328,18751731
543,拉拉拉拉拉拉拉拉,bravo021733,18738371
543,拉拉拉哩哩哩拉,qwop195641,18742834
543,啦哩啦啦哩哩哩啦,kiwi151920,18746142
550,簽,justinechuo0,18734326
550,啦哩哩哩,Yuyiiii107,18829393
554,啦哩哩哩啦,q91126,18737521
555,來嗨摟,zheweixu,18731812
555,說畫面不一樣的是嗑藥嗎？,aska1214,18745558
556,拉拉拉拉拉拉拉拉拉拉拉拉拉拉拉拉拉,a10855024,18745112
560,啦啦啦啦啦啦,chris840518,18735804
560,拉哩哩哩啦,ljiaying0817,18736911
565,啦啦哩啦啦,Vivian940504,18739952
565,啦啦啦啦啦啦阿拉啊啦啦啦啦啦啦啦啦,Sazasa,18833141
570,才剛看就覺得「真是太好看啦啦啦啦啦啦！」,shenyufeng,18734775
570,連續看兩集,Mcde0914,18752597
572,敬禮!!!,cuy623,18736652
572,拉拉拉,nina971004,18798866
574,拉拉拉拉拉,davidddd,19385316
575,拉拉拉拉搭,heincream2,18732816
575,啦啦啦啦啊啊,sszz9900,18741608
576,上禮拜早就發片了，傻傻的等兩個禮拜,client12,18737753
576,小叮叮叮噹,a19631400,18992573
577,不跳OP是對神作的尊重,a9805579,18755902
578,拉拉拉拉拉,Poopgod,18743630
579,拉哩哩哩拉拉拉拉,a2640557,18741025
579,拉拉拉拉拉拉拉拉拉拉拉拉拉拉拉,aa5965300,18858831
580,拉哩哩哩啦,a9506218,18733947
580,主席來了 快起立,book0529,18777551
581,拉拉拉拉拉哩哩哩拉,alf20819,18744273
582,顏色更鮮豔了,sixT0501,18733980
584,拉拉ㄌ拉拉哩哩哩ㄌ,xxddccssaa,18739689
584,拉拉哩拉拉拉哩哩哩拉,itkjing0708,18741768
585,艾倫叔叔發紅包了！,PuddingOxO,18843052
585,拉絲,welsonhsieh,19101333
586,啦哩哩哩啦,jesse3912,18737417
587,拉哩哩哩拉！！！！,alice881001,18734953
589,lalalalalalalalalalalalalalalala,leo050328,18751733
589,Lalalalalala,FGmole,18805191
589,啦啦啦啦啦,JZFZZZ,19605003
590,啦啦啦,historia1113,18811639
591,拉拉拉拉拉拉,Aneyka,18886388
591,皮克我老婆！！,owen0707,19790898
594,拉哩哩哩哩拉,linkin5656,18871204
595,啦哩哩啦,stormek0223,18795507
599,拉拉拉拉拉拉拉拉拉拉,Nick0313,19528396
600,每次彈幕這裏都覺得好好笑🤣,wlobr183,18740583
600,簽,Aqwrq,19101160
604,喇舌喇舌拉拉拉拉拉,je7926,18957636
605,畫面不太一樣,xigua870810,18734745
608,拉希拉希拉,iop2486,18742004
610,拉拉拉拉,andy1204907,18930912
610,喔喔啊啊,Sky9727,19572984
620,開拉啦,yo950719,18739589
621,拉哩拉拉哩哩拉,z6131033,18738621
625,好好聽,silverknief,18732828
625,萌主簽到,deciare,18734091
626,大家起來嗨!,x87127,18745202
627,拉進垃圾車,fonta1214,18759892
633,拉拉拉 拉拉拉拉,yaya5216,18740303
640,誰還在乎早8啊 都給我嗨起來,CHT528990,18731397
640,啦啦啦啦,lilin941228,18744391
640,啊啊啊,A24438212,18750015
643,啦啦阿啦啦啦啦啦,Martian0317,19632729
644,全體起立！萊納坐下！,Ayue123,19204899
650,啦啦啦啦啦啦啦啦啦啦啦啦啦啦,Daniel911216,19060211
657,啦啦啦啦啦啦,pcasoldtwo,18735552
670,啊啊啊啊啊,A24438212,18750016
670,拉拉ㄌ拉拉拉,Thomas08131,19533369
675,拔拔,welsonhsieh,19101338
690,皮克我老婆！,owen0707,19790925
