time,text,userid,danmu_sn
0,簽,hugo12360987,17766471
0,開車了,hugo12360987,17766498
0,簽爆,Q123230905,17984557
0,的恐懼以及被雷槍射爆的屈辱,s17318138,19568483
0,啊啊啊啊啊啊啊,jay666qwqere,19770416
7,三刷簽啦,s104303012s,17653126
8,第一次加入得意人生,s49606112,17724329
10,你各位通通坐好,Dengwalker,17638033
10,六刷～～～～～,jack101059,17737790
12,💓關彈幕以得最佳觀賞體驗💓,Kent951027,17905474
17,簽簽簽,aaa120369874,17948548
19,簽啦哪次不簽,ax39732389,17666223
20,來啦,kikichiu081,17662055
20,兵長兵長,A29376628,19836899
21,這集第六刷,ruby901229,17660199
21,簽,James520egg,17765153
22,1/19,love456789,17643309
25,來了！！！！,ruby201067a,18271658
27,三十五刷簽,fqfq123321,17893052
28,還以為開到隔壁棚的夢幻島０．０,c02080219,17661862
31,連續撥出9個月是真的嗎,dreamonkey,17678229
33,簽,ylin0069,17845788
40,簽簽簽簽簽,chen0907,17696344
40,簽,squirrel123,17848298
42,簽～～～,momo940901,17882551
45,來二刷了 這集超爽推,YannicYu,17680441
45,九刷簽到,Wasunnyday,17719604
45,簽,AA104007,18016467
46,000000.....0000,wi74747471,17892150
49,簽,sandy1003,17708517
50,2021/1/19半夜三點明早上班簽,ivan20001031,17635626
50,米雞簽,barnettchang,17764999
50,簽,milktea24,18003227
52,2021/01/21 五刷簽到,pkpk440666,17677117
52,阿爾馮斯艾力克斯傳 劇情回顧,a2020266,17772793
55,九刷,smg0294,19162706
66,666,ABCD0909,17635883
67,2021/01/20 四刷簽到,pkpk440666,17661934
67,簽,K10708105,18121440
69,三刷簽啦，哪次不簽?,we3132327,17730703
70,期末考考完就來報到啦！！！,Jillian2021,17652128
70,四刷簽,s224591068,17653313
70,簽,fairy1999107,18628618
70,35刷是瘋子喔？,G1023,19719539
75,廣告是車車,BoBo97317,17877598
75,簽簽簽,Amonguy,18405989
78,五寶爸,ueprag3f,17637566
80,戴木白,q55441122,17752896
81,追rrrrrr,bora55123123,17696883
81,2021/2/6 二刷,bowen0701,17994164
88,簽,DumDum123,17635169
90,你老婆484戰錘?(FBI警笛聲),sisterniose4,17707622
92,簽,chenestla123,17638482
95,六十七刷,Curtis0923,19236483
103,二刷,sses60908666,17676723
103,210125 神作補簽,POWER40201,17758625
105,魯迪?,benson200403,17644229
