time,text,userid,danmu_sn
0,簽,vsouis87,18300719
0,早安,celinehu567,18301837
0,簽,Allenppap,18301855
0,簽~,RUBY98127,18327447
0,簽,abc983825273,18327887
0,簽簽~~,ananas,18369457
0,簽,tank333,18385892
3,志願役同意書 要簽的出聲,andytu0209,18326305
7,吸吸吐 用力!,t850903,18312651
10,簽,AA104007,18404665
11,生小孩??,thernestee01,18301310
11,簽,Jerry95713,18304026
11,簽～萊納你坐啊！！,momo940901,18328041
13,假逼必須死,zyl0811,18430374
15,簽到~~~~~~~,se574858144,18314028
15,美女來了 簽,Shurong0521,18315229
20,簽,BreadlyMIKU,18306398
21,簽,jkjkjkwe66,18312894
21,簽,aaaderla,18339498
22,別跳ed因為很好聽 你應該聽完,FtFace,18301176
24,簽,S1412,18329236
24,簽啦,hanako150,18384029
25,要生了,zongzi4771,18322766
29,簽,Zha1324578,18303924
30,2021/02/22 首刷睡前看看 OwO,pkpk440666,18304210
30,簽,TiennZ,18305253
34,開學簽,night1144,18300503
35,開學可憐學生簽,Aoao7227,18313148
35,簽,oofman,18313678
37,簽啦哪次不簽,ax39732389,18391867
40,簽,Yuyiiii107,18825457
42,簽,HsuChenKai,18321520
43,簽,Arthour,18340962
45,簽～～,k20050819,18315696
45,東海美術簽到,alexbrian914,18316059
46,簽,qw47704020,18303910
47,簽,ses910114,18303222
47,簽,auigl88522,18466907
48,簽看到眼前這幕....,A21042671,18355672
50,簽,max666wang,18340204
50,雞國,a22702160sdf,18986888
52,簽簽簽,knight0120,18331288
55,來了！！！！,ruby201067a,18324254
56,我要宰了假幣,MSLINmslin,18442866
60,簽,fairy1999107,18636187
62,簽,Johnson414,18311324
63,開學簽,celinehu567,18301846
65,簽,j0925080217,18300276
66,叫屁啊,hgsh610186,18303524
69,安安安安安安安安安安安安,Heatshock,18310101
72,簽簽,tw713648,18301561
73,法爾可負責,UBIN2,18299500
75,簽,Valdrada,18425543
75,幹,Ho31837740,19186158
77,槍之惡魔假幣已上線,angela5566,19775343
79,：對不起我太粗魯了,as085566as,18299475
80,這麽快？！法爾克（ ・∀・）,Dutou0101,18354522
80,簽,opop86411399,19008337
82,又是只會這招 博取同情 噁心,csy12377,18312498
86,羊水破掉要生了，開兩指了，趕緊叫產婆。,c20629,18386596
86,要生了,leedo56,19437047
87,簽,ivyfwerxa,18932433
90,簽,abc921105,18304455
90,去鼠,Wd1090,19398941
94,簽,JimmyChen111,18315418
95,簽,son961213,18769747
96,不要進來，太大了，受不了了,Star4066361,18304553
97,簽,n126809845,18316283
97,gabi滾,zyl0811,18451289
98,羊癲瘋！,Wei950223,18529357
100,簽啦(⊙o⊙),Ksdx05589,18305409
108,等下就出現大法師姿勢爬行,killua0719,18317328
111,假幣必須死!!!!!!,IVY94522,18741899
115,簽,mkps101058,18391007
115,許雞雞雞雞雞雞雞雞雞雞雞雞雞雞雞雞國國國,a22702160sdf,18986907
120,垃圾賈碧,Cnsh811356,18368946
121,簽~~~~~,a57188577,18306461
124,千,pinguouo,18299840
134,開學症候群,Zha1324578,18303933
165,年輕人不講武德,d6511631,18322102
165,臭海鮮,pegytwo,18337797
175,簽,Joshua931005,18300114
178,簽,dylamwu9121,18388639
179,瘋狗,sanvqq30,18314704
180,話劇社演技,A486287,18303276
182,年輕人不講武德！？,negget22,18307563
183,簽,a4793786,18301344
188,假幣必須死……,eefd7070ae86,18396654
194,垃圾女7414啦,lucky54399,18300419
195,不要開學😭,a20810299231,18300173
203,一直罵的真的很煩欸==,amykuozzz,19040890
205,假幣去死啦,Yuyiiii107,18825461
213,來騙來偷襲！？,negget22,18307565
218,殺人啦,a9823546,18300645
221,神作簽到,h34261004520,18304259
224,真的很不爽+B诶 +B必須死,B2109A094,18916624
229,卑鄙,qw47704020,18303935
233,不講武德,gweo1912,18301063
235,假幣真的臭ㄅㄧㄠˇ,porkonrice,18958925
244,句鎚瑞斯,J33250637,18301943
250,垃圾女,badiware,18303014
250,我就知道她是裝的,A62569,19185938
