time,text,userid,danmu_sn
0,簽~,RUBY98127,18404655
0,簽,QwQewe,18405170
0,簽,Ksdx05589,18406197
0,簽啦,vsouis87,18409462
0,簽,s23356511,18414089
0,簽,yule0515,18414328
0,簽簽~~,ananas,18428807
0,簽,BreadlyMIKU,18447141
0,簽,jkjkjkwe66,18452539
0,癡漢敏,vu864,19075684
0,癡漢敏:可惡想柔,vu864,19075686
4,南台電子老田簽到,yago891027,18413322
5,2021/03/01簽到！！,wendy940714,18402972
7,簽起來~~~,killerblack,18412164
7,簽,tank333,18482306
9,封面是伊雷娜><,V26230026,18401561
10,我嗑了這麼多年的兩隻終於變官推,mingzi0917,18412460
10,來了~,po98zx45,19404330
12,簽,weizhen005,18406231
12,簽,S1412,18428914
15,簽,Valdrada,18403157
15,簽,Aa27992799,18406424
16,簽簽簽,francesca000,18417436
17,簽,night1144,18405615
18,美少年,MSLINmslin,18443412
18,簽,Easonwu517,19892049
19,簽,aaaderla,18430158
20,簽,s980306,18403863
20,簽,Wei921205,18406566
20,"簽
  簽",Ckjj16899,18436738
24,簽,oofman,18403495
24,差點看成耶雷娜,ifantasist,19005642
25,簽,Joshua931005,18426472
26,簽～～～,k20050819,18415853
27,簽,night60628,18402514
27,JB生日快樂,ZA20074,18406529
27,簽~~~~,rxuan1210,18440962
29,簽,celinehu567,18403009
29,簽,W164953,18405972
29,簽～～～,momo940901,18654216
30,簽,Raytsai0622,18403434
30,簽,d123218030,18410320
32,簽.,Uney9679,18401687
32,簽,James520egg,18912852
33,簽,dolphin128,18406457
35,簽！,Kingiscute,18404025
35,簽,AA104007,18411407
35,簽,Shurong0521,18899797
35,簽,KCHEGYSZ23,18919441
39,亞妮我婆,Garurumon520,18401503
39,簽,d0905252918,18416952
39,簽簽簽,knight0120,18446696
40,210305神作簽到,POWER40201,18462222
40,簽,max666wang,18725082
41,簽,kuanyu212,18413554
42,簽,a70222,18402852
42,意淫中,gangstar878,18404595
42,簽,du881123,18409162
42,簽,auigl88522,18467230
44,簽❤,Yenas,18404503
45,簽,zxcv860723,18401712
45,簽,Ghukjgd12,18403466
45,還睡啊，快起床,nealwu,18456984
45,簽,Eason96822,19484001
48,簽,Sherry1125,18403558
48,簽,hururu,18436052
50,安安嗯嗯,jwshiua,18401184
50,簽,sym11011059,18405810
50,來了 乾 是亞妮,Yuyiiii107,18825917
52,簽ෆ,yang5171444,18402025
53,簽,j0925080217,18401982
55,簽,aaa654321uu,18402124
55,簽！😻😻😻😻😻,Shurong0521,18403421
56,簽,tim5520837,18402385
57,簽,s18113209,18415616
63,2021/03/01 首刷簽到 OwO,pkpk440666,18401839
65,簽爆啦,Q123230905,18404999
65,簽,S102198SS,18411064
65,4刷,eclosionhp,18418893
66,簽,Z1000000,18415446
69,在裡面也會長大嗎@@?,rookur,18402816
69,終於出來了,wizards251,18408589
69,簽,twojunior,18425741
70,簽,Riesling,18401512
70,簽啦！,Sanada2415,18401835
70,簽,Johnson414,18402908
71,3/1簽~~~~~~~~~~~~~~~~~~,boom60518,18407447
71,簽你老木,a23821187a,18410164
75,阿噁敏又是你,srnmam05,18416544
75,簽,xlionx3488,18418708
76,ㄑ,sses60908666,18402945
76,簽,nina971004,18438882
78,我愛AKI,JamesMoney,18419064
78,這一周像是一年,candy885522,18420096
80,ㄑ！,Pigyloi,18417524
80,來了！！！！,ruby201067a,18450093
80,簽,plain1,18465995
81,簽到,Higray87TW,18408839
82,簽,gchauy945,18401157
83,簽,cyh1121,18402813
85,簽,RONTANG,18412982
85,簽,st2071830,19726920
87,簽,mole22711270,18414193
87,簽,Bingo960124,18415140
89,阿噁敏,holypiggy123,18402333
89,簽到,Johnson90831,18534857
